15,1.143623e-18,-0.003513265,1.05,1.735499e-18,-1.034736e-18,1.05,8.511589e-18,-2.386192,2.577773,-1.176618e-14,-1.174017e-14,2.58593
31,-0.008503711,0.01334725,1.05,9.160552e-19,-8.539238e-19,1.05,-5.773503,9.061798,2.573168,-0.07221068,-0.07221068,2.643088
47,-0.0114082,0.008503083,1.05,-2.400167e-18,1.941941e-18,1.05,-7.745967,5.773503,2.621935,-0.06172038,-0.06172038,2.583718
63,-0.01268201,1.291791e-17,1.05,-7.412605e-19,-1.754279e-18,1.05,-8.611363,-4.789505e-18,2.651367,4.312316e-14,4.313967e-14,2.545101
79,0.01268342,-0.008503485,1.05,-1.724903e-18,-7.312819e-19,1.05,8.611363,-5.773503,2.635473,-0.06861936,-0.06861936,2.576965
95,-0.01373319,1.434791e-17,1.05,2.149372e-18,3.963884e-19,1.05,-9.324695,1.358555e-16,2.663603,5.19206e-14,5.195558e-14,2.538995
111,5.265071e-16,-0.00893214,1.05,-1.85184e-18,1.411684e-18,0.9633975,-8.878893e-17,-5.384693,1.325956,1.735518e-12,1.592371e-12,-0.6981452
127,0.008028583,0.01285265,1.05,-1.480035e-18,2.317827e-18,0.9633975,5.773503,7.745967,1.339832,0.06931649,0.06359936,-0.6763171
143,-0.01197542,-0.009579903,1.05,2.329978e-18,-3.956029e-18,0.9633975,-8.611363,-5.773503,1.391051,0.07706269,0.07070667,-0.7278782
159,-6.677571e-16,-0.007642105,1.05,1.083789e-18,8.258911e-19,1.136603,1.337805e-16,-5.773503,3.653124,-1.068805e-12,-1.156952e-12,5.355106
175,-0.00898155,0.01025478,1.05,2.517692e-19,-6.626337e-19,1.136603,-5.773503,7.745967,3.674911,-0.05561171,-0.06019848,5.359715
191,-0.0120503,0.007643526,1.05,-2.267604e-18,1.926808e-18,1.136603,-7.745967,5.773503,3.713231,-0.05561265,-0.0601995,5.326316
207,0.005288136,0.007642378,1.05,-2.886922e-18,2.604375e-18,1.136603,3.39981,5.773503,3.6647,0.02440519,0.0264181,5.349559
223,-1.10778e-15,0.01493281,1.05,2.509634e-18,4.731043e-19,0.9338105,-2.774096e-16,8.611363,0.834626,2.591886e-12,2.305058e-12,-1.942696
239,0.01055569,0.0100116,1.05,-3.995545e-19,-2.494693e-18,0.9338105,7.745967,5.773503,0.910622,0.07235009,0.06434407,-2.024781
255,-0.009144951,0.007387788,1.05,2.30923e-18,6.771337e-19,1.16619,-5.773503,5.773503,4.030158,-0.04008995,-0.04452617,6.180456
271,0.005384289,5.406514e-16,1.05,-1.41825e-18,8.622708e-19,1.16619,3.39981,1.945914e-17,4.022094,-1.262562e-12,-1.402233e-12,6.166865
287,3.426359e-16,-0.009103872,1.05,1.101517e-18,5.332376e-19,0.9990028,1.63225e-16,-5.773503,1.854876,8.967618e-13,8.532009e-13,0.7489209
303,5.111144e-16,0.0106984,1.05,-3.115696e-19,-2.439852e-18,1.100997,1.804386e-16,7.745967,3.209651,-7.348502e-13,-7.705015e-13,4.305065
319,-0.009216977,0.007281173,1.05,3.118204e-18,-4.313788e-18,1.17917,-5.773503,5.773503,4.176819,-0.03952162,-0.04438355,6.536749
335,0,0,1.05,3.071738e-19,-9.913801e-19,1.13077,0,0,3.598474,-9.847713e-13,-1.060495e-12,5.158041
351,0,0,1.05,2.016379e-17,-0.1154701,1.05,0,0,2.569941,-1.056748,-1.339368,2.566781
367,-0.009738108,-0.01246991,1.05,-1.45337e-18,-0.1154701,1.05,-5.773503,-7.745967,2.582848,-0.9841027,-1.268142,2.61126
383,-0.01232888,-0.009843192,1.05,3.785756e-17,-0.1154701,1.05,-7.745967,-5.773503,2.620754,-0.9841392,-1.272347,2.57271
399,0.004086104,-0.008064802,1.05,-4.257678e-18,-0.1154701,1.05,3.39981,-5.773503,2.561484,-1.079528,-1.361218,2.592562
